timestamp,gps_speed,gps_nsat,acc_n_g,acc_t_g,slope,course,gyro,height,radius,latitude,longitude,acc_n_imu,acc_z_imu
0,15.9058,15,0.0722,0.5811,-0.8272,-104.6708,9.1869,187.2856,27.5555,51.93932815,15.60020221,-2.96,-0.17
0.05,15.9058,15,0.0722,0.5811,-0.8272,-104.6708,9.1869,187.2856,27.5555,51.93932815,15.60020221,-2.96,-0.17
0.1,15.9058,15,0.0722,0.5811,-0.8272,-104.6708,9.1869,187.2856,27.5555,51.93932815,15.60020221,-3.7,-0.07
0.15,16.9295,15,0.1042,0.5408,-0.8475,-104.2114,11.956,187.2764,22.536,51.93932764,15.60019831,-4.6,-0.08
0.2,17.9531,15,0.1363,0.5006,-0.8678,-103.7521,14.7252,187.2672,19.4043,51.93932712,15.60019442,-4.73,-0.27
0.25,18.9768,15,0.1683,0.4603,-0.888,-103.2927,17.4943,187.258,17.2641,51.93932661,15.60019052,-4.93,0.18
0.3,20.0004,15,0.2003,0.4201,-0.9083,-102.8334,20.2635,187.2489,15.7088,51.93932609,15.60018662,-4.91,0.38
0.35,20.7356,15,0.092,0.461,-0.8853,-101.8202,9.3662,187.2541,35.235,51.93932574,15.60018218,-4.01,0.04
0.4,21.4709,15,-0.0163,0.502,-0.8622,-100.807,-1.5311,187.2594,223.184,51.93932539,15.60017774,-2.2,-0.12
0.45,22.3569,17,0.0061,0.5438,-0.8443,-100.8836,0.4764,187.2575,746.8395,51.93932483,15.60017294,-3.1,-0.07
0.5,23.243,17,0.0285,0.5856,-0.8264,-100.9601,2.484,187.2556,148.9234,51.93932427,15.60016814,-2.58,0
0.55,24.2765,17,0.0048,0.5882,-0.7468,-100.8359,0.4863,187.2724,794.5804,51.93932371,15.60016284,-1.12,-0.01
0.6,25.3101,17,-0.0189,0.5908,-0.6671,-100.7117,-1.5115,187.2893,266.5113,51.93932315,15.60015755,-0.41,-0.06
0.65,26.3529,17,0.055,0.5273,-0.6966,-100.7873,4.0041,187.2714,104.7466,51.93932248,15.60015192,-0.18,-0.03
0.7,27.3958,17,0.1289,0.4638,-0.726,-100.8629,9.5197,187.2535,45.8014,51.93932181,15.60014629,0.02,0.05
0.75,28.2125,17,0.1757,0.4852,-0.6537,-100.3869,12.5144,187.2641,35.88,51.93932125,15.60014025,-0.59,0.11
0.8,29.0292,17,0.2225,0.5066,-0.5814,-99.9109,15.509,187.2746,29.79,51.93932069,15.60013422,-1.29,0.01
0.85,29.9181,17,0.1423,0.4362,-0.6863,-99.1355,9.7923,187.2524,48.6261,51.93932015,15.60012789,-1.07,-0.04
0.9,30.8069,17,0.0621,0.3659,-0.7912,-98.36,4.0755,187.2302,120.3055,51.9393196,15.60012156,-1.84,-0.1
0.95,31.4523,17,0.0366,0.38,-0.7204,-98.1562,2.3863,187.2331,209.773,51.93931906,15.60011494,-1.97,-0.19
1,32.0977,17,0.0111,0.3941,-0.6495,-97.9525,0.6971,187.236,732.8608,51.93931851,15.60010832,-1.77,-0.19
1.05,32.7933,17,0.0517,0.308,-0.6123,-97.9176,3.1403,187.2512,166.2,51.93931805,15.60010148,-1.59,-0.16
1.1,33.4889,17,0.0924,0.2219,-0.5751,-97.8828,5.5836,187.2664,95.4571,51.93931758,15.60009463,-2.04,-0.14
1.15,33.8791,17,0.0939,0.2555,-0.5302,-97.6036,5.6072,187.279,96.1618,51.93931718,15.60008766,-1.05,-0.19
1.2,34.2692,17,0.0954,0.2891,-0.4852,-97.3244,5.6309,187.2916,96.8605,51.93931678,15.6000807,-0.98,-0.18
1.25,34.6593,17,0.0969,0.3226,-0.4402,-97.0452,5.6545,187.3041,97.5534,51.93931638,15.60007373,-0.99,-0.13
1.3,35.0495,17,0.0984,0.3562,-0.3952,-96.766,5.6782,187.3167,98.2405,51.93931598,15.60006676,-0.57,-0.19
1.35,35.6773,17,-0.0052,0.1645,-0.4457,-96.4821,-0.1913,187.3075,2968.0884,51.93931558,15.6000594,-1.59,-0.46
1.4,36.3051,17,-0.1088,-0.0271,-0.4962,-96.1982,-6.0608,187.2984,95.3359,51.93931517,15.60005203,-3.09,-0.42
1.45,36.2563,17,-0.0597,0.2183,-0.4847,-96.5013,-3.326,187.2794,173.4932,51.93931459,15.60004462,-2.07,-0.29
1.5,36.2075,17,-0.0106,0.4637,-0.4732,-96.8043,-0.5912,187.2604,974.7862,51.93931401,15.60003722,-1.77,-0.23
1.55,37.026,17,-0.003,0.3776,-0.4635,-96.8339,-0.1734,187.2562,3399.2241,51.9393134,15.60002931,-2.12,-0.01
1.6,37.8445,17,0.0046,0.2915,-0.4538,-96.8634,0.2444,187.252,2463.9846,51.93931279,15.60002141,-3.09,0.29
1.65,38.3591,17,-0.0117,0.3053,-0.4874,-96.8512,-0.6078,187.2363,1004.4712,51.93931224,15.6000134,-2.75,0.04
1.7,38.8736,17,-0.0281,0.3191,-0.5211,-96.839,-1.46,187.2206,423.7569,51.93931169,15.60000539,-2.45,-0.05
1.75,39.4368,17,-0.0512,0.3815,-0.48,-96.912,-2.6103,187.2238,240.4506,51.93931107,15.59999724,-3.37,0.01
1.8,39.9999,17,-0.0744,0.444,-0.4389,-96.985,-3.7606,187.227,169.2844,51.93931045,15.59998908,-4.69,0
1.85,40.7832,17,-0.1164,0.3653,-0.4339,-97.173,-5.7349,187.2259,113.1807,51.93930981,15.59998063,-5.78,-0.09
1.9,41.5665,17,-0.1584,0.2866,-0.4288,-97.361,-7.7092,187.2248,85.8127,51.93930917,15.59997218,-5.29,-0.1
1.95,42.0705,17,-0.1191,0.3472,-0.4874,-97.7465,-5.7503,187.1945,116.4423,51.93930835,15.59996358,-4.19,-0.15
2,42.5745,17,-0.0798,0.4078,-0.5461,-98.132,-3.7913,187.1642,178.7251,51.93930753,15.59995499,-2.91,-0.17
2.05,43.2938,17,-0.1091,0.3742,-0.5246,-98.3215,-5.0786,187.1712,135.6766,51.93930672,15.59994593,-1.46,-0.04
2.1,44.0131,17,-0.1385,0.3407,-0.5032,-98.5111,-6.3659,187.1781,110.0386,51.93930591,15.59993687,-0.73,0.03
2.15,44.6118,17,-0.1502,0.3511,-0.5037,-98.8294,-6.7944,187.1673,104.5009,51.93930491,15.59992759,-0.51,-0.01
2.2,45.2104,17,-0.1619,0.3616,-0.5043,-99.1477,-7.2229,187.1565,99.6202,51.9393039,15.59991832,-1.02,-0.01
2.25,45.809,17,-0.1736,0.3721,-0.5048,-99.466,-7.6514,187.1457,95.2862,51.93930289,15.59990904,-1.49,0.01
2.3,46.4076,17,-0.1854,0.3825,-0.5053,-99.7843,-8.0799,187.1349,91.4119,51.93930189,15.59989976,-1.88,0.03
2.35,47.0805,17,-0.1498,0.3669,-0.4909,-100.1882,-6.4583,187.1195,116.0218,51.93930075,15.59989012,-1.35,0.04
2.4,47.7534,17,-0.1142,0.3514,-0.4765,-100.5922,-4.8368,187.104,157.1329,51.93929962,15.59988047,-1.51,0
2.45,48.3728,17,-0.1421,0.3223,-0.5011,-100.8341,-5.9281,187.095,129.8681,51.93929841,15.59987055,-2.78,0.03
2.5,48.9922,17,-0.17,0.2932,-0.5257,-101.0759,-7.0195,187.0859,111.0812,51.9392972,15.59986063,-4.13,0.05
2.55,49.5079,17,-0.1214,0.3102,-0.5024,-101.4269,-4.982,187.0762,158.1588,51.93929586,15.59985051,-3.88,-0.01
2.6,50.0236,17,-0.0728,0.3272,-0.4792,-101.7779,-2.9444,187.0666,270.3912,51.93929451,15.5998404,-2.41,-0.03
2.65,50.6009,17,-0.0986,0.3126,-0.4881,-101.9251,-3.9298,187.0603,204.9338,51.93929312,15.59983003,-2.27,-0.03
2.7,51.1782,17,-0.1244,0.298,-0.497,-102.0723,-4.9151,187.0541,165.7205,51.93929174,15.59981966,-1.94,-0.01
2.75,51.7033,17,-0.1129,0.2753,-0.4855,-102.3181,-4.4214,187.0482,186.1131,51.93929027,15.59980912,-1.24,-0.01
2.8,52.2284,17,-0.1014,0.2526,-0.4741,-102.5638,-3.9278,187.0424,211.6315,51.93928881,15.59979857,-1.24,0.03
2.85,52.6737,17,-0.1217,0.3394,-0.4849,-102.7602,-4.6687,187.0169,179.564,51.93928728,15.59978798,-2.34,0.05
2.9,53.119,17,-0.1421,0.4261,-0.4958,-102.9566,-5.4096,186.9915,156.2806,51.93928575,15.59977738,-3.2,0
2.95,53.87,17,-0.1321,0.3079,-0.4802,-103.2271,-4.9668,186.9924,172.6182,51.93928414,15.59976639,-2.26,-0.02
3,54.6211,17,-0.1222,0.1896,-0.4647,-103.4976,-4.5241,186.9933,192.1535,51.93928252,15.5997554,-1.54,-0.02
3.05,54.9549,17,-0.0704,0.1858,-0.4398,-103.7238,-2.6026,186.9971,336.0586,51.93928087,15.59974439,-1.6,0
3.1,55.2887,17,-0.0186,0.182,-0.4149,-103.95,-0.6812,187.001,1291.8538,51.93927923,15.59973337,-2.07,-0.05
3.15,55.61,17,0.0462,0.1428,-0.4178,-103.984,1.6398,186.9962,539.7266,51.93927768,15.5997223,-1.82,-0.2
3.2,55.9313,17,0.111,0.1035,-0.4208,-104.0181,3.9608,186.9914,224.7451,51.93927613,15.59971124,-1.16,-0.15
3.25,56.2525,17,0.1758,0.0642,-0.4238,-104.0521,6.2818,186.9866,142.5208,51.93927458,15.59970017,-3.08,-0.02
3.3,56.5738,17,0.2406,0.025,-0.4268,-104.0862,8.6028,186.9818,104.6639,51.93927303,15.5996891,-3.89,-0.1
3.35,56.6147,17,0.092,0.2182,-0.399,-103.6561,3.2913,186.9947,273.7668,51.93927165,15.599678,-3.75,-0.09
3.4,56.6556,17,-0.0566,0.4114,-0.3712,-103.2259,-2.0202,187.0077,446.3517,51.93927026,15.59966691,-3.19,0.09
3.45,57.3817,17,0.0202,0.3335,-0.3191,-103.3269,0.6765,187.0265,1349.9178,51.93926866,15.59965535,-3.13,-0.07
3.5,58.1077,17,0.0969,0.2556,-0.267,-103.4279,3.3732,187.0453,274.1635,51.93926706,15.59964379,-3.73,0.01
3.55,58.5584,17,0.1476,0.1866,-0.3362,-103.2593,5.0867,187.0208,183.2204,51.93926544,15.59963225,-3.61,-0.17
3.6,59.0091,17,0.1984,0.1176,-0.4054,-103.0906,6.8002,186.9963,138.1082,51.93926383,15.59962072,-4.07,-0.12
3.65,59.2145,17,0.164,0.182,-0.364,-102.7506,5.6066,187.0167,168.0938,51.93926236,15.5996089,-3.61,-0.09
3.7,59.4199,17,0.1296,0.2464,-0.3225,-102.4106,4.413,187.037,214.3003,51.93926088,15.59959708,-3.3,0.03
3.75,59.854,17,-0.0161,0.2732,-0.3328,-102.19,-0.5068,187.0362,1879.7249,51.93925936,15.59958506,-2.89,0
3.8,60.2882,17,-0.1617,0.2999,-0.343,-101.9693,-5.4265,187.0354,176.8199,51.93925784,15.59957305,-2.31,-0.11
3.85,60.8161,17,-0.0266,0.2072,-0.2658,-102.2406,-0.9243,187.0814,1047.1365,51.93925615,15.59956063,-3.6,-0.08
3.9,61.3441,17,0.1085,0.1144,-0.1886,-102.512,3.5778,187.1275,272.8818,51.93925445,15.59954822,-4.64,0.01
3.95,61.5455,17,0.2407,0.1675,-0.1446,-102.3331,7.8977,187.1499,124.0275,51.93925288,15.59953583,-4.67,0.12
4,61.7468,17,0.3729,0.2206,-0.1007,-102.1542,12.2175,187.1725,80.4364,51.93925131,15.59952344,-4.91,0.08
4.05,62.1292,17,0.3069,0.2343,-0.1128,-101.5433,10.0057,187.162,98.8252,51.9392499,15.59951088,-4.85,0.01
4.1,62.5116,17,0.2408,0.248,-0.1249,-100.9324,7.7939,187.1516,127.6507,51.93924849,15.59949833,-3.79,-0.02
4.15,62.9436,17,0.2774,0.2508,-0.1327,-100.5427,8.8915,187.1398,112.6668,51.93924713,15.5994855,-2.67,0.13
4.2,63.3756,17,0.3139,0.2536,-0.1405,-100.153,9.9891,187.128,100.9756,51.93924577,15.59947266,-1.8,0.27
4.25,63.8075,17,0.3504,0.2563,-0.1483,-99.7633,11.0867,187.1162,91.5992,51.93924441,15.59945983,-1.87,0.12
