timestamp,gps_speed,acc_n_g,gps_t_acc,course,radius,latitude,longitude,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Internal Battery
0,4.5036,0,0,-3.1387,10000,51.41732533,21.14855027,0.21,-0.11,-1.75,-5.3,-0.9,-3.3,4
0.05,4.5036,0,0,-3.1387,10000,51.41732533,21.14855027,0.21,-0.11,-1.76,0.2,-0.9,-2,4
0.1,4.5036,0,0,-3.1387,10000,51.41732533,21.14855027,0.21,-0.09,-1.79,2.1,-1.2,-0.9,4
0.15,4.8391,-0.0988,0.2412,-4.9165,1.7329,51.41732591,21.14854984,0.23,-0.05,-1.74,-0.4,-1.3,-1,4
0.2,5.8569,-0.1039,0.5839,-7.7547,2.0801,51.41732765,21.14854883,0.17,-0.08,-1.75,-4.6,-1.4,-2,4
0.25,6.6021,-0.13,0.3819,-9.6389,2.4382,51.41732908,21.14854797,0.18,-0.09,-1.76,-4.2,-1,-3.3,4
0.3,7.4381,0.0114,0.4803,-9.5492,30.2758,51.41733079,21.14854731,0.24,-0.04,-1.78,2.3,0.1,-4.2,4
0.35,8.347,0.1365,0.5358,-8.4509,3.9633,51.41733269,21.14854679,0.3,-0.01,-1.83,9.6,0.2,-4.9,4
0.4,9.2923,0.2509,0.5222,-4.8948,2.4251,51.41733474,21.14854677,0.32,0,-1.83,13.2,-0.7,-5.6,4
0.45,10.0308,0.0316,0.4066,-4.2521,23.0594,51.41733663,21.14854646,0.25,-0.06,-1.75,17.8,-0.7,-5.3,4
0.5,10.6909,-0.0357,0.3703,-4.587,23.727,51.41733848,21.14854594,0.19,-0.08,-1.72,24.4,-0.7,-3.1,4
0.55,11.2352,0.0166,0.3092,-4.4598,58.691,51.41734035,21.14854557,0.11,-0.11,-1.76,28.3,0.4,0.6,4
0.6,11.7021,0.0335,0.2521,-4.156,31.1282,51.41734222,21.14854519,0.24,-0.11,-1.78,24.8,0.2,4.7,4
0.65,12.1037,0.0538,0.229,-3.729,20.8564,51.41734395,21.14854496,0.18,-0.13,-1.69,13.9,0.3,8.1,4
0.7,12.7925,0.1951,0.4185,-1.8426,6.2647,51.41734601,21.14854511,0.1,-0.1,-1.77,2.7,1.8,10.8,4
0.75,13.2819,0.0161,0.2708,-1.1479,82.5062,51.41734802,21.14854508,0.1,-0.07,-1.74,-9.1,2.7,11.6,4
0.8,13.8979,-0.0139,0.2649,-1.658,106.5022,51.41735027,21.14854434,0.26,-0.07,-1.63,-17.9,3.1,10.3,4
0.85,14.2762,-0.033,0.2858,-2.6231,47.1799,51.41735244,21.14854366,0.63,-0.07,-1.54,-19.8,3.2,7.3,4
0.9,14.9564,-0.03,0.3255,-2.1265,56.6207,51.41735477,21.14854335,0.91,-0.02,-1.58,-15.9,2.4,3.4,4
0.95,15.4205,-0.0665,0.3515,-2.8829,27.3763,51.41735703,21.1485426,0.91,0.01,-1.62,-8.2,2.1,-1.7,4
1,16.0405,-0.0913,0.383,-3.4084,21.5644,51.41735955,21.14854179,0.84,-0.01,-1.62,3,1.2,-6,4
1.05,16.6851,-0.0949,0.4018,-4.7459,22.4844,51.41736227,21.14854057,0.8,-0.04,-1.45,14.6,-0.3,-7.1,4
1.1,17.4282,-0.0976,0.4249,-5.3045,23.8398,51.41736505,21.14853966,0.41,-0.05,-1.41,20.2,-0.8,-4.9,4
1.15,18.3002,-0.0854,0.4217,-5.3554,29.8549,51.417368,21.14853879,0.14,-0.03,-1.47,17.3,1.7,-1.8,4
1.2,19.2365,-0.0663,0.4306,-5.2078,42.0918,51.41737113,21.14853796,0.43,-0.04,-1.38,11.8,4.2,0.5,4
1.25,20.0456,-0.0553,0.4233,-5.5454,54.8421,51.41737436,21.14853689,0.91,-0.07,-1.21,9.7,-0.1,2,4
1.3,20.6056,-0.0587,0.3873,-6.0307,55.2145,51.41737737,21.14853581,1,-0.19,-1.08,12.2,-7.6,4.9,4
1.35,21.1474,-0.0697,0.3337,-6.458,49.2382,51.41738042,21.14853489,0.54,-0.25,-1.06,8.6,-15,8.1,4
1.4,21.6125,-0.0729,0.3,-6.8864,49.5133,51.41738355,21.14853382,0.68,-0.18,-1.23,7,-13.3,10.2,4
1.45,22.1359,-0.0951,0.2756,-7.4496,39.8285,51.4173868,21.14853269,0.78,-0.1,-1.62,7.1,-2.2,13.2,4
1.5,22.6143,-0.1014,0.2766,-7.7438,38.9878,51.41739003,21.14853164,0.55,-0.07,-1.82,1.8,2.9,15.8,4
1.55,23.0865,-0.0855,0.2949,-7.8548,48.2425,51.41739322,21.1485309,0.25,-0.06,-1.7,-7.4,2.5,15.8,4
1.6,23.6483,-0.0504,0.3183,-8.2158,85.6384,51.41739658,21.14852995,0.24,-0.03,-1.66,-12.4,2.6,14.8,4
1.65,24.0147,-0.0082,0.3602,-8.5142,547.6348,51.41739987,21.14852903,0.23,0.01,-1.62,-14.7,2.3,12.4,4
1.7,24.8518,0.0284,0.4048,-9.0411,168.4223,51.41740365,21.14852784,0.32,0.03,-1.63,-14.2,2.2,8.3,4
1.75,26.0019,0.0441,0.4328,-8.5173,116.9858,51.41740782,21.14852682,0.19,0,-1.69,-12.9,1.5,3.2,4
1.8,26.8293,0.0552,0.4479,-8.1317,99.216,51.41741176,21.14852597,0.23,-0.02,-1.77,-10.6,1.7,-2.5,4
1.85,27.471,0.0632,0.4579,-6.9133,91.5078,51.41741567,21.14852548,0.41,-0.06,-1.76,-5.7,1.9,-7,4
1.9,28.1762,0.0556,0.4545,-6.9907,109.761,51.41741976,21.14852457,0.37,-0.08,-1.61,-0.2,1.4,-9.4,4
1.95,28.8991,0.0413,0.4479,-7.0419,155.6047,51.41742383,21.14852391,0.3,-0.07,-1.48,4,1.5,-9.4,4
2,29.7217,0.025,0.4327,-7.4177,272.0205,51.41742803,21.14852265,0.34,-0.08,-1.49,5.9,0.6,-7.9,4
2.05,30.4501,0.0105,0.4061,-7.5063,680.386,51.41743219,21.1485215,0.45,-0.14,-1.53,6,1.3,-6.1,4
2.1,31.0852,-0.0189,0.3794,-7.3983,396.5662,51.41743643,21.14852071,0.5,-0.08,-1.56,3.9,1.3,-4,4
2.15,31.7595,-0.0432,0.3361,-7.4645,181.4221,51.41744073,21.14851974,0.54,-0.03,-1.52,-1,1.9,-3.7,4
2.2,32.3704,-0.0578,0.3272,-7.5159,140.3,51.41744511,21.14851885,0.71,-0.02,-1.47,-2.5,3.2,-5.5,4
2.25,32.9827,-0.0409,0.3168,-7.6595,205.9119,51.41744949,21.14851788,0.8,-0.1,-1.5,-1.1,3.4,-8.2,4
2.3,33.4913,-0.0122,0.2928,-7.7022,711.5849,51.4174539,21.14851699,0.86,-0.12,-1.44,1,1.3,-10.7,4
2.35,33.947,0.0179,0.2896,-7.6484,503.4264,51.41745825,21.14851586,0.86,-0.11,-1.35,3.4,-0.2,-13.7,4
2.4,34.3206,0.0381,0.2861,-7.5344,240.9584,51.41746268,21.14851487,0.86,-0.09,-1.31,7.9,0,-16.7,4
2.45,34.7449,0.044,0.2952,-7.7437,214.5426,51.4174672,21.14851392,0.8,-0.06,-1.34,13.7,-0.4,-18,4
2.5,35.304,0.0505,0.3045,-7.4742,192.854,51.41747182,21.148513,0.7,-0.07,-1.32,18.4,-1.2,-17.3,4
2.55,35.9941,0.0848,0.3022,-7.1429,118.9306,51.41747658,21.14851224,0.66,-0.11,-1.31,19.5,0.2,-14.9,4
2.6,36.5476,0.1036,0.2946,-6.6346,100.2174,51.41748138,21.14851148,0.71,-0.07,-1.32,17.1,4.2,-11.7,4
2.65,37.3206,0.1146,0.2839,-6.4559,93.8622,51.41748639,21.14851078,0.31,-0.15,-1.48,16.6,5.6,-9.1,4
2.7,37.8396,0.116,0.2871,-6.0428,95.3316,51.41749129,21.14851,0.22,-0.18,-1.47,17.4,2.3,-6.3,4
2.75,38.0111,0.1218,0.2954,-5.8603,92.458,51.41749605,21.14850932,0.49,-0.09,-1.29,15.1,-1.2,-3.2,4
2.8,38.3699,0.1275,0.281,-5.6119,90.3644,51.41750093,21.14850852,0.74,0.06,-1.31,12,-1.3,-0.4,4
2.85,38.9013,0.1256,0.2535,-5.2696,94.1939,51.41750607,21.14850775,0.85,0.12,-1.31,14.8,-1.3,3.1,4
2.9,39.1703,0.1192,0.215,-4.6936,101.0662,51.41751109,21.14850727,0.83,0.13,-1.12,14.8,-2.3,8.8,4
2.95,39.7051,0.1175,0.1784,-4.6567,104.8989,51.41751623,21.14850667,0.91,0,-1.08,3,-3.3,12.4,4
3,40.165,0.1192,0.1558,-4.3802,105.4302,51.41752141,21.14850602,0.98,-0.15,-1.21,-1.8,-0.2,13,4
3.05,40.6048,0.1252,0.1467,-3.8696,102.2132,51.41752677,21.1485054,0.56,-0.11,-1.45,1.8,5,13.4,4
3.1,40.8046,0.1265,0.1395,-3.611,102.3304,51.41753186,21.14850508,0.3,-0.11,-1.6,-1.9,4.7,13.5,4
3.15,40.5806,0.1218,0.1445,-3.2083,106.2912,51.41753678,21.14850482,0.39,-0.06,-1.54,-5,2.5,10.3,4
3.2,40.7388,0.133,0.1444,-3.1099,98.3979,51.41754197,21.14850427,0.35,-0.01,-1.54,-2.1,0.3,5.9,4
3.25,40.9811,0.1364,0.1257,-2.6567,97.0723,51.41754713,21.1485038,0.3,-0.03,-1.57,1.7,1.1,2.7,4
3.3,41.3934,0.1405,0.1529,-2.288,95.6712,51.41755248,21.14850332,0.29,-0.05,-1.47,5.4,1.1,0,4
3.35,41.8494,0.1427,0.1846,-2.0787,95.9033,51.41755791,21.14850297,0.14,-0.04,-1.55,7.6,0.6,-1,4
3.4,42.3611,0.1541,0.1927,-1.7199,90.5879,51.41756351,21.14850267,0.2,-0.04,-1.67,8.2,1.2,0.2,4
