timestamp,latitude,longitude,gps_speed,course,height,acc_t_g,acc_n_g,lean_angle,acc_t_imu,acc_n_imu,acc_z_imu,x_rate_of_rotation-gyro,y_rate_of_rotation-gyro,z_rate_of_rotation-gyro
101404.49,3116.41212,-935.94594,0.04,327.89,146.05,-0.003,0,0,0.213,0.091,0.967,-3.28,6.6,-5.59
101404.59,3116.412121,-935.945939,0.072,327.89,146.05,-0.002,0,0,0.213,0.091,0.967,-3.331,6.576,-5.506
101404.69,3116.412122,-935.945937,0.072,327.89,146.06,-0.002,0,0,0.213,0.091,0.967,-3.458,6.517,-5.294
101404.79,3116.412124,-935.945935,0.072,327.89,146.06,-0.002,0,0,0.213,0.091,0.967,-3.585,6.458,-5.083
101404.89,3116.412126,-935.945932,0.072,327.89,146.06,-0.002,0,0,0.213,0.091,0.967,-3.712,6.399,-4.872
101404.99,3116.412128,-935.94593,0.073,327.89,146.07,-0.002,0,0,0.213,0.091,0.967,-3.84,6.34,-4.661
101405.09,3116.41213,-935.945928,0.073,327.89,146.07,-0.002,0,0,0.213,0.091,0.967,-3.967,6.281,-4.449
101405.19,3116.412131,-935.945925,0.073,327.89,146.07,-0.002,0,0,0.213,0.091,0.968,-4.094,6.222,-4.238
101405.29,3116.412133,-935.945923,0.073,327.89,146.08,-0.002,0,0,0.213,0.091,0.968,-4.221,6.162,-4.027
101405.39,3116.412135,-935.945921,0.073,327.89,146.08,-0.002,0,0,0.213,0.091,0.968,-4.348,6.103,-3.816
101405.49,3116.412137,-935.945919,0.073,327.89,146.09,-0.002,0,0,0.213,0.091,0.968,-4.476,6.044,-3.605
101405.59,3116.412138,-935.945916,0.073,327.89,146.09,-0.002,0,0,0.213,0.091,0.968,-4.603,5.985,-3.393
101405.69,3116.41214,-935.945914,0.073,327.89,146.09,-0.002,0,0,0.213,0.091,0.968,-4.73,5.926,-3.182
101405.79,3116.412142,-935.945912,0.074,327.89,146.1,-0.002,0,0,0.213,0.091,0.968,-4.857,5.867,-2.971
101405.89,3116.412144,-935.94591,0.074,327.89,146.1,-0.002,0,0,0.213,0.091,0.968,-4.984,5.808,-2.76
101405.99,3116.412145,-935.945907,0.074,327.89,146.1,-0.002,0,0,0.213,0.091,0.968,-5.111,5.749,-2.549
101406.09,3116.412147,-935.945905,0.074,327.89,146.11,-0.002,0,0,0.213,0.091,0.968,-5.239,5.689,-2.337
101406.19,3116.412149,-935.945903,0.074,327.89,146.11,-0.002,0,0,0.213,0.091,0.968,-5.366,5.63,-2.126
101406.29,3116.412151,-935.945901,0.074,327.89,146.12,-0.002,0,0,0.213,0.091,0.968,-5.493,5.571,-1.915
101406.39,3116.412152,-935.945898,0.074,327.89,146.12,-0.002,0,0,0.213,0.091,0.968,-5.62,5.512,-1.704
101406.49,3116.412154,-935.945896,0.075,327.89,146.12,-0.002,0,0,0.213,0.091,0.969,-5.747,5.453,-1.493
101406.59,3116.412156,-935.945894,0.075,327.89,146.13,-0.002,0,0,0.213,0.091,0.969,-5.875,5.394,-1.281
101406.69,3116.412158,-935.945891,0.075,327.89,146.13,-0.002,0,0,0.213,0.091,0.969,-6.002,5.335,-1.07
101406.79,3116.41216,-935.945889,0.075,327.89,146.14,-0.002,0,0,0.213,0.091,0.969,-6.129,5.276,-0.859
101406.89,3116.412161,-935.945887,0.075,327.89,146.14,-0.002,0,0,0.213,0.091,0.969,-6.256,5.216,-0.648
101406.99,3116.412163,-935.945885,0.075,327.89,146.14,-0.002,0,0,0.213,0.091,0.969,-6.383,5.157,-0.436
101407.09,3116.412165,-935.945882,0.075,327.89,146.15,-0.002,0,0,0.214,0.091,0.969,-6.51,5.098,-0.225
101407.19,3116.412167,-935.94588,0.075,327.89,146.15,-0.002,0,0,0.214,0.091,0.969,-6.638,5.039,-0.014
101407.29,3116.412168,-935.945878,0.076,327.89,146.15,-0.002,0,0,0.214,0.091,0.969,-6.765,4.98,0.197
101407.39,3116.41217,-935.945876,0.076,327.89,146.16,-0.002,0,0,0.214,0.091,0.969,-6.892,4.921,0.408
101407.49,3116.412172,-935.945873,0.076,327.89,146.16,-0.002,0,0,0.214,0.091,0.969,-7.019,4.862,0.62
101407.59,3116.412174,-935.945871,0.076,327.89,146.17,-0.002,0,0,0.214,0.091,0.969,-7.146,4.803,0.831
101407.69,3116.412175,-935.945869,0.076,327.89,146.17,-0.002,0,0,0.214,0.091,0.969,-7.274,4.743,1.042
101407.79,3116.412177,-935.945866,0.076,327.89,146.17,-0.002,0,0,0.214,0.091,0.97,-7.401,4.684,1.253
101407.89,3116.412179,-935.945864,0.076,327.89,146.18,-0.002,0,0,0.214,0.091,0.97,-7.528,4.625,1.464
101407.99,3116.412181,-935.945862,0.076,327.89,146.18,-0.002,0,0,0.214,0.091,0.97,-7.655,4.566,1.676
101408.09,3116.412182,-935.94586,0.077,327.89,146.18,-0.002,0,0,0.214,0.091,0.97,-7.782,4.507,1.887
101408.19,3116.412184,-935.945857,0.077,327.89,146.19,-0.002,0,0,0.214,0.091,0.97,-7.909,4.448,2.098
101408.29,3116.412186,-935.945855,0.077,327.89,146.19,-0.002,0,0,0.214,0.091,0.97,-8.037,4.389,2.309
101408.39,3116.412188,-935.945853,0.077,327.89,146.2,-0.003,0,0,0.214,0.091,0.97,-8.164,4.33,2.52
101408.49,3116.41219,-935.945851,0.077,327.89,146.2,-0.003,0,0,0.214,0.091,0.97,-8.291,4.27,2.732
101408.59,3116.412191,-935.945848,0.077,327.89,146.2,-0.003,0,0,0.214,0.091,0.97,-8.418,4.211,2.943
101408.69,3116.412193,-935.945846,0.077,327.89,146.21,-0.003,0,0,0.214,0.091,0.97,-8.545,4.152,3.154
101408.79,3116.412195,-935.945844,0.077,327.89,146.21,-0.003,0,0,0.214,0.091,0.97,-8.673,4.093,3.365
101408.89,3116.412197,-935.945842,0.078,327.89,146.21,-0.003,0,0,0.214,0.091,0.97,-8.8,4.034,3.577
101408.99,3116.412198,-935.945839,0.078,327.89,146.22,-0.003,0,0,0.214,0.091,0.971,-8.927,3.975,3.788
101409.09,3116.4122,-935.945837,0.078,327.89,146.22,-0.003,0,0,0.214,0.091,0.971,-9.054,3.916,3.999
101409.19,3116.412202,-935.945835,0.078,327.89,146.23,-0.003,0,0,0.214,0.091,0.971,-9.181,3.857,4.21
101409.29,3116.412204,-935.945832,0.078,327.89,146.23,-0.003,0,0,0.214,0.091,0.971,-9.308,3.797,4.421
101409.39,3116.412205,-935.94583,0.078,327.89,146.23,-0.003,0,0,0.214,0.091,0.971,-9.436,3.738,4.633
101409.49,3116.412207,-935.945828,0.078,327.89,146.24,-0.003,0,0,0.214,0.091,0.971,-9.563,3.679,4.844
101409.59,3116.412209,-935.945826,0.079,327.89,146.24,-0.003,0,0,0.214,0.09,0.971,-9.69,3.62,5.055
101409.69,3116.412211,-935.945823,0.079,327.89,146.25,-0.003,0,0,0.214,0.09,0.971,-9.817,3.561,5.266
101409.79,3116.412212,-935.945821,0.079,327.89,146.25,-0.003,0,0,0.214,0.09,0.971,-9.944,3.502,5.477
101409.89,3116.412214,-935.945819,0.079,327.89,146.25,-0.003,0,0,0.214,0.09,0.971,-10.072,3.443,5.689
101409.99,3116.412216,-935.945817,0.079,327.89,146.26,-0.003,0,0,0.214,0.09,0.971,-10.199,3.383,5.9
101410.09,3116.412218,-935.945814,0.079,327.89,146.26,-0.003,0,0,0.214,0.09,0.971,-10.326,3.324,6.111
101410.19,3116.41222,-935.945812,0.079,327.89,146.26,-0.003,0,0,0.214,0.09,0.971,-10.453,3.265,6.322
101410.29,3116.412221,-935.94581,0.079,327.89,146.27,-0.003,0,0,0.214,0.09,0.972,-10.58,3.206,6.533
101410.39,3116.412223,-935.945807,0.08,327.89,146.27,-0.003,0,0,0.214,0.09,0.972,-10.707,3.147,6.745
101410.49,3116.412225,-935.945805,0.08,327.89,146.28,-0.003,0,0,0.214,0.09,0.972,-10.835,3.088,6.956
101410.59,3116.412227,-935.945803,0.08,327.89,146.28,-0.003,0,0,0.214,0.09,0.972,-10.962,3.029,7.167
101410.69,3116.412228,-935.945801,0.08,327.89,146.28,-0.003,0,0,0.214,0.09,0.972,-11.089,2.97,7.378
101410.79,3116.41223,-935.945798,0.08,327.89,146.29,-0.003,0,0,0.214,0.09,0.972,-11.216,2.91,7.59
101410.89,3116.412232,-935.945796,0.08,327.89,146.29,-0.003,0,0,0.214,0.09,0.972,-11.343,2.851,7.801
101410.99,3116.412234,-935.945794,0.08,327.89,146.29,-0.003,0,0,0.214,0.09,0.972,-11.471,2.792,8.012
101411.09,3116.412235,-935.945792,0.08,327.89,146.3,-0.003,0,0,0.214,0.09,0.972,-11.598,2.733,8.223
101411.19,3116.412237,-935.945789,0.081,327.89,146.3,-0.003,0,0,0.214,0.09,0.972,-11.725,2.674,8.434
101411.29,3116.412239,-935.945787,0.081,327.89,146.31,-0.003,0,0,0.214,0.09,0.972,-11.852,2.615,8.646
101411.39,3116.412241,-935.945785,0.081,327.89,146.31,-0.003,0,0,0.214,0.09,0.972,-11.979,2.556,8.857
101411.49,3116.412242,-935.945782,0.081,327.89,146.31,-0.003,0,0,0.214,0.09,0.972,-12.106,2.497,9.068
101411.59,3116.412244,-935.94578,0.081,327.89,146.32,-0.003,0,0,0.214,0.09,0.973,-12.234,2.437,9.279
101411.69,3116.412246,-935.945778,0.081,327.89,146.32,-0.003,0,0,0.214,0.09,0.973,-12.361,2.378,9.49
101411.79,3116.412248,-935.945776,0.081,327.89,146.32,-0.003,0,0,0.214,0.09,0.973,-12.488,2.319,9.702
101411.89,3116.41225,-935.945773,0.082,327.89,146.33,-0.003,0,0,0.214,0.09,0.973,-12.615,2.26,9.913
101411.99,3116.412251,-935.945771,0.082,327.89,146.33,-0.003,0,0,0.214,0.09,0.973,-12.742,2.201,10.124
101412.09,3116.412253,-935.945769,0.082,327.89,146.34,-0.003,0,0,0.214,0.09,0.973,-12.87,2.142,10.335
101412.19,3116.412255,-935.945767,0.082,327.89,146.34,-0.003,0,0,0.214,0.09,0.973,-12.997,2.083,10.546
